source,table_name,column,data_type,timestamp,UNIQUE,MIN,MAX,AVG,SUM
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CONVERSION_OPTIMIZER_BID_TYPE,TEXT,2025-05-29T15:22:38Z,0,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CUSTOMER_DESCRIPTIVE_NAME,TEXT,2025-05-29T15:22:38Z,125264,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BUDGET_ID,NUMBER,2025-05-29T15:22:38Z,1319366,17762,28326378232,10442043101.853971,26353252466907386
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BID_TYPE,TEXT,2025-05-29T15:22:38Z,0,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CAMPAIGN_OPTIMIZATION_SCORE,NUMBER,2025-05-29T15:22:38Z,230281,0.0,100.0,25.26334884077381,36699662.64741065
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CAMPAIGN_STATUS,TEXT,2025-05-29T15:22:38Z,3,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,END_DATE,DATE,2025-05-29T15:22:38Z,2549,2018-03-21,2037-12-31,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BEGIN_DATE,DATE,2025-05-29T15:22:38Z,5915,2002-02-20,2025-04-02,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ENHANCED_CPC_ENABLED,NUMBER,2025-05-29T15:22:38Z,1,1,1,1.0,2953
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,NAME,TEXT,2025-05-29T15:22:38Z,1390045,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ADWORDS_ACCOUNT_ID,NUMBER,2025-05-29T15:22:38Z,124392,1000058046,9999928380,5480221002.474767,13830784478089729
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,LABELS,TEXT,2025-05-29T15:22:38Z,81712,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ADVERTISING_CHANNEL_TYPE,TEXT,2025-05-29T15:22:38Z,13,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CUSTOMER_OPTIMIZATION_SCORE,NUMBER,2025-05-29T15:22:38Z,137975,0.0,100.0,66.38846039349741,138384156.54029
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BIDDING_STRATEGY_NAME,TEXT,2025-05-29T15:22:38Z,30407,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,TRACKING_URL_TEMPLATE,TEXT,2025-05-29T15:22:38Z,178389,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,LAST_SCORE_UPDATE,NUMBER,2025-05-29T15:22:38Z,22133,1708724871,1709531623,1708990206.161148,2509259050000229
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,LABEL_IDS,TEXT,2025-05-29T15:22:38Z,134320,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CAMPAIGN_ID,NUMBER,2025-05-29T15:22:38Z,2523765,1,22450134,6786169.446595,17126696933387
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,LAST_UPDATE,NUMBER,2025-05-29T15:22:38Z,0,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ENHANCED_CPV_ENABLED,TEXT,2025-05-29T15:22:38Z,2,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,SCORE_LIFE_TIME,NUMBER,2025-05-29T15:22:38Z,101,0,100,69.178169,23707151
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ACCOUNT_TIME_ZONE_ID,TEXT,2025-05-29T15:22:38Z,164,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BIDDING_STRATEGY_ID,NUMBER,2025-05-29T15:22:38Z,41722,396550535,11510023700,9565750754.027147,3407329984335224
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,TOTAL_BUDGET,NUMBER,2025-05-29T15:22:38Z,39109,0.01,35000000.0,8488.458095434027,20218938456.63146
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,SCORE,NUMBER,2025-05-29T15:22:38Z,101,0,100,16.146316,23707151
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,SERVING_STATUS,TEXT,2025-05-29T15:22:38Z,3,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,NETWORK,TEXT,2025-05-29T15:22:38Z,7,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,CUSTOMER_ID,NUMBER,2025-05-29T15:22:38Z,1,1,1,1.0,2523765
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ADVERTISING_CHANNEL_SUB_TYPE,TEXT,2025-05-29T15:22:38Z,16,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,IS_BUDGET_EXPLICITLY_SHARED,NUMBER,2025-05-29T15:22:38Z,1,1,1,1.0,433822
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ACCOUNT_ID,NUMBER,2025-05-29T15:22:38Z,124392,1000058046,9999928380,5480221002.474767,13830784478089729
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ADWORDS_ID,NUMBER,2025-05-29T15:22:38Z,1604777,11213,44033579413,15779180403.997156,39822943232293883
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,EXTERNAL_CUSTOMER_ID,NUMBER,2025-05-29T15:22:38Z,124392,1000058046,9999928380,5480221002.474767,13830784478089729
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,BIDDING_STRATEGY,TEXT,2025-05-29T15:22:38Z,18,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,PERIOD,TEXT,2025-05-29T15:22:38Z,2,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ACCOUNT_DESCRIPTIVE_NAME,TEXT,2025-05-29T15:22:38Z,125264,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,PRIMARY_COMPANY_NAME,TEXT,2025-05-29T15:22:38Z,125264,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,ACCOUNT_CURRENCY_CODE,TEXT,2025-05-29T15:22:38Z,41,,,,
raw,PROD_TAPINTEL.PUBLIC.TBL__ADWORDS_CGN,LAST_UPDATE_MYSQL_TIMESTAMP,TIMESTAMP_NTZ,2025-05-29T15:22:38Z,204871,2024-02-23T21:47:51,2025-04-03T00:59:28,,
