source,table_name,column,data_type,timestamp,UNIQUE,MIN,MAX,AVG,SUM
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CITY,TEXT,2025-05-29T15:15:38Z,45654,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VERTICAL_ID,TEXT,2025-05-29T15:15:38Z,327,56,812191,50288.952346,11159554530687
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VERTICAL_NAME,TEXT,2025-05-29T15:15:38Z,327,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CUSTOMER_ID,NUMBER,2025-05-29T15:15:38Z,10776,1,131991,1603.065923,355734226974
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VENDOR_ACCOUNT_ID,NUMBER,2025-05-29T15:15:38Z,27285,1000488829,9999815393,5758946361.494751,1277960127680639397
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CONVERSIONS,NUMBER,2025-05-29T15:15:38Z,5464729,0.0,1477326.623231,6.860021700323,1522298291.689778
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VENDOR_ACCOUNT_NAME,TEXT,2025-05-29T15:15:38Z,27029,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,SPEND,NUMBER,2025-05-29T15:15:38Z,11905616,0.0,7739687.312292,17.655004497368,3917798566.854955
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CONNECTOR,TEXT,2025-05-29T15:15:38Z,1,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,REGION,TEXT,2025-05-29T15:15:38Z,1161,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,ADVERTISING_CHANNEL_TYPE,TEXT,2025-05-29T15:15:38Z,11,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,IMPRESSIONS,NUMBER,2025-05-29T15:15:38Z,102197,0,23701478,149.072644,33080512152
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,BIDDING_STRATEGY,TEXT,2025-05-29T15:15:38Z,17,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,COUNTRY,TEXT,2025-05-29T15:15:38Z,178,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CURRENCY,TEXT,2025-05-29T15:15:38Z,18,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,NETWORK,TEXT,2025-05-29T15:15:38Z,7,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CLICKS,NUMBER,2025-05-29T15:15:38Z,8541,0,503629,2.286348,507360485
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,UNIQUE_CUSTOMER_ID,TEXT,2025-05-29T15:15:38Z,22182,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CAMPAIGN_NAME,TEXT,2025-05-29T15:15:38Z,112116,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,ADVERTISER_NAME,TEXT,2025-05-29T15:15:38Z,22045,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,MONTH_YR,TEXT,2025-05-29T15:15:38Z,4,2025-01-01,2025-04-01,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,SUBDOMAIN,TEXT,2025-05-29T15:15:38Z,413,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,INTERACTIONS,NUMBER,2025-05-29T15:15:38Z,28901,0,7258820,13.153021,2918769442
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,SPEND_USD,NUMBER,2025-05-29T15:15:38Z,10208049,0.0,297961.581156,2.569530583,570201114.197869
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,NETWORK,TEXT,2025-05-29T15:15:50Z,2,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,MONTH_YR,TEXT,2025-05-29T15:15:50Z,4,2025-01-01,2025-04-01,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,KEYWORD,TEXT,2025-05-29T15:15:50Z,1773765,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,VENDOR_ACCOUNT_NAME,TEXT,2025-05-29T15:15:50Z,22786,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,ADGROUP_NAME,TEXT,2025-05-29T15:15:50Z,326264,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,CAMPAIGN_NAME,TEXT,2025-05-29T15:15:50Z,80816,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,IMPRESSIONS,NUMBER,2025-05-29T15:15:50Z,22457,0,11677086,159.548216,1770446241
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,CLICKS,NUMBER,2025-05-29T15:15:50Z,7146,0,6037563,20.136293,223444831
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,UNIQUE_CUSTOMER_ID,TEXT,2025-05-29T15:15:50Z,20182,,,,
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,SPEND_USD,NUMBER,2025-05-29T15:15:50Z,1973435,0.0,3414141.530995,36.784306609262,408181545.975077
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,SPEND,NUMBER,2025-05-29T15:15:50Z,1984999,0.0,6833842.0,70.133566994407,778245682.448608
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,INTERACTIONS,NUMBER,2025-05-29T15:15:50Z,7146,0,6037563,20.136401,223446029
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_KEYWORD_MONTHLY,VERTICAL_ID,TEXT,2025-05-29T15:15:50Z,303,56,812191,31707.903137,351850615521
