source,table_name,column,Datatype,month,Unique COUNT,SUM,timestamp
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CITY,TEXT,2025-01-01,45181,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VERTICAL_ID,TEXT,2025-01-01,304,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VERTICAL_NAME,TEXT,2025-01-01,304,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CUSTOMER_ID,NUMERIC,2025-01-01,,113628687089,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VENDOR_ACCOUNT_ID,NUMERIC,2025-01-01,,440376483186788671,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CONVERSIONS,NUMERIC,2025-01-01,,590177104.852089,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,VENDOR_ACCOUNT_NAME,TEXT,2025-01-01,24360,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,SPEND,NUMERIC,2025-01-01,,1363686091.355386,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CONNECTOR,TEXT,2025-01-01,1,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,REGION,TEXT,2025-01-01,1155,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,ADVERTISING_CHANNEL_TYPE,TEXT,2025-01-01,11,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,IMPRESSIONS,NUMERIC,2025-01-01,,11650653841,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,BIDDING_STRATEGY,TEXT,2025-01-01,17,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CURRENCY,TEXT,2025-01-01,18,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,COUNTRY,TEXT,2025-01-01,178,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,NETWORK,TEXT,2025-01-01,7,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CLICKS,NUMERIC,2025-01-01,,174648121,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,UNIQUE_CUSTOMER_ID,TEXT,2025-01-01,19870,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,CAMPAIGN_NAME,TEXT,2025-01-01,90812,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,ADVERTISER_NAME,TEXT,2025-01-01,19755,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,MONTH_YR,TEXT,2025-01-01,1,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,SUBDOMAIN,TEXT,2025-01-01,409,,2025-05-29T12:42:11Z
intermedia,TAPCLICKS_DATA_SEGMENTATION.PUBLIC.GOOGLE_ADS_GEO_MONTHLY,INTERACTIONS,NUMERIC,2025-01-01,,1082041434,2025-05-29T12:42:11Z
